Jornada;HoraP1;HoraP2;GRAVEDAD_ACCIDENTE;CLASE_ACCIDENTE;direccion_normalizada;tipo_principal;num_principal;tipo_secundaria;num_secundaria;FRECUENCIA;Heridos;Muertos;Material;YEAR;MES;DIA;Ponderacion;Riesgo
Tarde;No;Si;Material;Choque;CL 59 CR 47;CL;59;CR;47;5;no;no;no;2019;September;Tue;9.33;Moderado
Tarde;No;No;Material;Choque;CR 47 CL 59;CR;47;CL;59;7;no;no;no;2020;February;Wed;6.33;Moderado
Morning;Si;No;Material;Choque;CR 47 CL 59;CR;47;CL;59;7;no;no;no;2021;April;Fri;9.0;Moderado
Morning;Si;No;Material;Choque;CR 47 CL 59;CR;47;CL;59;7;no;no;no;2021;June;Sun;9.0;Moderado
Tarde;No;No;Heridos;Choque;CR 47 CL 59;CR;47;CL;59;7;si;no;no;2021;July;Sun;7.33;Moderado
Noche;No;No;Material;Choque;CR 50 CL 59;CR;50;CL;59;2;no;no;no;2018;February;Tue;5.67;Bajo
Noche;No;No;Heridos;Choque;CR 50 CL 59;CR;50;CL;59;1;si;no;no;2019;May;Fri;5.67;Bajo
Morning;Si;No;Material;Choque;CL 59 CR 50;CL;59;CR;50;1;no;no;no;2021;September;Sat;7.0;Moderado
Morning;Si;No;Heridos;Choque;CR 50 CL 59;CR;50;CL;59;2;si;no;no;2022;March;Fri;9.0;Moderado
Noche;No;No;Heridos;Choque;CR 53 CL 59;CR;53;CL;59;1;si;no;no;2019;March;Thu;5.67;Bajo
Tarde;No;No;Material;Choque;CR 53 CL 59;CR;53;CL;59;1;no;no;no;2022;May;Mon;4.33;Bajo
Noche;No;No;Material;Choque;CR 54 CL 59;CR;54;CL;59;5;no;no;no;2018;January;Thu;6.67;Moderado
Tarde;No;No;Material;Choque;CR 54 CL 59;CR;54;CL;59;2;no;no;no;2018;March;Wed;5.33;Bajo
Tarde;No;No;Material;Choque;CR 54 CL 59;CR;54;CL;59;5;no;no;no;2018;March;Wed;6.33;Moderado
Tarde;No;No;Heridos;Atropello;CR 54 CL 59;CR;54;CL;59;5;si;no;no;2019;October;Sat;8.67;Moderado
Noche;No;No;Heridos;Choque;CL 59 CR 54;CL;59;CR;54;1;si;no;no;2019;December;Mon;5.67;Bajo
Noche;No;No;Material;Choque;CR 54 CL 59;CR;54;CL;59;5;no;no;no;2021;March;Tue;6.67;Moderado
Noche;No;No;Material;Choque;CR 54 CL 59;CR;54;CL;59;5;no;no;no;2021;August;Tue;6.67;Moderado
Noche;No;Si;Material;Choque;CR 54 CL 59;CR;54;CL;59;1;no;no;no;2022;January;Tue;7.67;Moderado
Noche;No;No;Material;Choque;CL 59 CR 54;CL;59;CR;54;1;no;no;no;2022;April;Sat;4.67;Bajo
Tarde;No;Si;Material;Choque;CR 54 CL 59;CR;54;CL;59;2;no;no;no;2022;June;Sat;8.33;Moderado
Morning;No;No;Material;Choque;CL 59 CR 54 23;CL;59;CR;54;1;no;no;no;2021;November;Sun;4.0;Bajo
Tarde;No;No;Material;Choque;CR 54 CL 59 62;CR;54;CL;59;1;no;no;no;2018;February;Fri;4.33;Bajo
Morning;No;No;Material;Choque;CL 59 CR 55;CL;59;CR;55;1;no;no;no;2021;May;Sat;4.0;Bajo
Tarde;No;No;Material;Choque;CL 59 CR 64;CL;59;CR;64;1;no;no;no;2021;April;Wed;4.33;Bajo
Morning;No;No;Heridos;Choque;CL 59 CR 9;CL;59;CR;9;1;si;no;no;2021;May;Fri;5.0;Bajo
Tarde;No;No;Material;Choque;CR 7D CL 5B;CR;7D;CL;5B;1;no;no;no;2020;March;Thu;4.33;Bajo
Morning;No;No;Material;Choque;CL 6 42 86 TERPEL;CL;6;;;1;no;no;no;2022;February;Tue;4.0;Bajo
Noche;No;No;Heridos;Choque;CL 6 42D 43;CL;6;;;1;si;no;no;2022;February;Sun;5.67;Bajo
Noche;No;No;Heridos;Choque;CL 6 (CORREDOR PORTUARIO) CR 30;CL;6;CR;30;1;si;no;no;2023;March;Wed;5.67;Bajo
Tarde;No;No;Muertos;Choque;CL 6 AV DEL RIO;CL;6;;;1;no;no;no;2018;August;Sat;6.33;Moderado
Tarde;No;Si;Material;Choque;CL 6 CR 14;CL;6;CR;14;1;no;no;no;2020;January;Thu;7.33;Moderado
Tarde;No;No;Material;Choque;CR 15 CL 6;CR;15;CL;6;1;no;no;no;2019;June;Sat;4.33;Bajo
Noche;No;No;Heridos;Choque;CR 15 CL 6;CR;15;CL;6;1;si;no;no;2023;July;Sun;5.67;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 17 CORREDOR PORTURIO;CL;6;CR;17;1;no;no;no;2021;September;Wed;4.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 19;CL;6;CR;19;1;no;no;no;2018;December;Sun;4.33;Bajo
Tarde;No;No;Heridos;Choque;CL 6 CR 25;CL;6;CR;25;2;si;no;no;2022;September;Thu;6.33;Moderado
Tarde;No;No;Heridos;Choque;CL 6 CR 25;CL;6;CR;25;2;si;no;no;2022;November;Wed;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;8;no;no;no;2018;February;Sat;6.0;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;8;no;no;no;2018;April;Fri;6.33;Moderado
Morning;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;1;no;no;no;2018;April;Tue;4.0;Bajo
Morning;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;8;no;no;no;2018;May;Wed;6.0;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;8;no;no;no;2018;August;Tue;6.33;Moderado
Tarde;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;8;no;no;no;2018;September;Tue;6.33;Moderado
Morning;Si;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;11;no;no;no;2018;October;Wed;9.0;Moderado
Noche;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;8;no;no;no;2018;November;Fri;6.67;Moderado
Morning;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;11;no;no;no;2019;February;Sun;6.0;Bajo
Morning;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;8;no;no;no;2019;March;Mon;6.0;Bajo
Morning;Si;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;11;si;no;no;2019;May;Mon;10.0;Moderado
Morning;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;11;no;no;no;2019;May;Wed;6.0;Bajo
Tarde;No;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;11;si;no;no;2019;June;Thu;7.33;Moderado
Tarde;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;8;no;no;no;2019;July;Wed;6.33;Moderado
Morning;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;8;no;no;no;2019;July;Sat;6.0;Bajo
Morning;Si;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;8;no;no;no;2019;July;Mon;9.0;Moderado
Morning;Si;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;11;si;no;no;2019;August;Wed;10.0;Moderado
Morning;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;11;no;no;no;2019;October;Wed;6.0;Bajo
Tarde;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;8;no;no;no;2019;November;Tue;6.33;Moderado
Morning;Si;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;11;no;no;no;2020;January;Sun;9.0;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;11;no;no;no;2020;September;Wed;6.33;Moderado
Tarde;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;8;no;no;no;2020;September;Sat;6.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;11;no;no;no;2021;July;Sat;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;11;no;no;no;2021;September;Sat;6.0;Bajo
Morning;Si;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;2;si;no;no;2021;November;Mon;9.0;Moderado
Morning;No;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;3;si;no;no;2022;January;Thu;7.0;Moderado
Morning;No;No;Material;Choque;CR 30 CL 6;CR;30;CL;6;2;no;no;no;2022;February;Mon;5.0;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 30;CL;6;CR;30;3;no;no;no;2022;March;Sat;6.33;Moderado
Morning;Si;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;3;si;no;no;2022;April;Fri;10.0;Moderado
Morning;Si;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;8;si;no;no;2022;August;Thu;10.0;Moderado
Tarde;No;Si;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;8;si;no;no;2022;November;Fri;10.33;Alto
Tarde;No;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;8;si;no;no;2023;April;Tue;7.33;Moderado
Tarde;No;No;Heridos;Choque;CR 30 CL 6;CR;30;CL;6;2;si;no;no;2024;January;Sun;6.33;Moderado
Tarde;No;No;Heridos;Caida Ocupante;CL 6 CR 30;CL;6;CR;30;2;si;no;no;2024;April;Tue;7.0;Moderado
Morning;No;No;Heridos;Choque;CL 6 CR 30;CL;6;CR;30;8;si;no;no;2025;April;Sat;7.0;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 30 38;CL;6;CR;30;3;no;no;no;2019;February;Wed;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 30 38;CL;6;CR;30;3;no;no;no;2019;March;Wed;6.0;Bajo
Morning;No;No;Material;Choque;CL 6 CR 30 38;CL;6;CR;30;3;no;no;no;2019;August;Tue;6.0;Bajo
Morning;No;No;Material;Choque;CR 38 CL 6;CR;38;CL;6;3;no;no;no;2018;June;Wed;6.0;Bajo
Noche;No;Si;Heridos;Choque;CL 6 CR 38;CL;6;CR;38;9;si;no;no;2018;September;Sun;10.67;Alto
Tarde;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;1;no;no;no;2019;January;Fri;4.33;Bajo
Tarde;No;No;Material;Choque;CR 38 CL 6;CR;38;CL;6;3;no;no;no;2019;January;Sun;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2019;March;Tue;6.0;Bajo
Noche;No;No;Material;Volcamiento;CR 38 CL 6;CR;38;CL;6;3;no;no;no;2019;July;Fri;6.67;Moderado
Morning;Si;No;Material;Choque;CR 38 CL 6;CR;38;CL;6;3;no;no;no;2019;July;Mon;9.0;Moderado
Morning;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2019;July;Mon;6.0;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2019;September;Fri;6.33;Moderado
Tarde;No;No;Material;Choque;CR 38 CL 6;CR;38;CL;6;1;no;no;no;2019;November;Thu;4.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2020;February;Thu;6.33;Moderado
Morning;Si;No;Heridos;Atropello;CL 6 CR 38;CL;6;CR;38;9;si;no;no;2020;February;Fri;11.33;Alto
Noche;No;Si;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2020;October;Mon;9.67;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2021;June;Sat;6.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2021;July;Tue;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2021;August;Tue;6.0;Bajo
Tarde;No;No;Heridos;Choque;CL 6 CR 38;CL;6;CR;38;9;si;no;no;2021;December;Thu;7.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2021;December;Sat;6.33;Moderado
Morning;Si;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2021;December;Sat;9.0;Moderado
Morning;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2022;February;Thu;6.0;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;2;no;no;no;2022;April;Mon;5.33;Bajo
Morning;No;No;Heridos;Choque;CL 6 CR 38;CL;6;CR;38;9;si;no;no;2022;April;Wed;7.0;Moderado
Morning;No;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2022;May;Fri;6.0;Bajo
Tarde;No;No;Material;Choque;CR 38 CL 6;CR;38;CL;6;3;no;no;no;2022;July;Thu;6.33;Moderado
Morning;Si;No;Material;Choque;CL 6 CR 38;CL;6;CR;38;9;no;no;no;2022;July;Thu;9.0;Moderado
Tarde;No;No;Heridos;Choque;CL 6 CR 38;CL;6;CR;38;9;si;no;no;2022;November;Thu;7.33;Moderado
Morning;No;No;Heridos;Volcamiento;CR 38 CL 6;CR;38;CL;6;3;si;no;no;2024;August;Thu;7.0;Moderado
Noche;No;No;Muertos;Volcamiento;CL 6 CR 38;CL;6;CR;38;2;no;no;no;2025;July;Wed;7.67;Moderado
Morning;No;No;Material;Choque;CL 6 CR 38 AV DEL RIO;CL;6;CR;38;1;no;no;no;2019;December;Thu;4.0;Bajo
Tarde;No;Si;Material;Choque;CR 38 CL 6 GLORIETA CORREDOR PORTUARIO;CR;38;CL;6;1;no;no;no;2021;November;Mon;7.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 38 30;CL;6;CR;38;1;no;no;no;2019;May;Sat;4.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 38 30;CL;6;CR;38;1;no;no;no;2022;August;Tue;4.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 38 40;CL;6;CR;38;1;no;no;no;2021;August;Sun;4.33;Bajo
Noche;No;Si;Material;Choque;CL 6 CR 38 41;CL;6;CR;38;1;no;no;no;2020;March;Thu;7.67;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 38 42;CL;6;CR;38;1;no;no;no;2022;February;Tue;4.33;Bajo
Noche;No;No;Heridos;Choque;CR 38 CL 6 8;CR;38;CL;6;1;si;no;no;2023;May;Tue;5.67;Bajo
Morning;No;No;Material;Choque;CL 6 CR 38 CR 30;CL;6;CR;38;1;no;no;no;2020;November;Tue;4.0;Bajo
Noche;No;No;Material;Choque;CL 6 CR 38/ 30;CL;6;CR;38;1;no;no;no;2020;April;Mon;4.67;Bajo
Tarde;No;Si;Heridos;Choque;CL 6 CR 39 38;CL;6;CR;39;1;si;no;no;2025;July;Sat;8.33;Moderado
Noche;No;Si;Material;Choque;CL 6 CR 40;CL;6;CR;40;1;no;no;no;2021;December;Mon;7.67;Moderado
Noche;No;No;Heridos;Choque;CL 6 CR 41;CL;6;CR;41;3;si;no;no;2018;March;Thu;7.67;Moderado
Noche;No;Si;Material;Choque;CL 6 CR 41;CL;6;CR;41;3;no;no;no;2018;September;Tue;9.67;Moderado
Noche;No;No;Material;Choque;CL 6 CR 41;CL;6;CR;41;1;no;no;no;2018;October;Wed;4.67;Bajo
Tarde;No;No;Heridos;Choque;CL 6 CR 41;CL;6;CR;41;3;si;no;no;2018;October;Sat;7.33;Moderado
Morning;No;No;Heridos;Choque;CR 41 CL 6;CR;41;CL;6;1;si;no;no;2022;June;Wed;5.0;Bajo
Morning;No;No;Material;Choque;CL 6 CR 41D;CL;6;CR;41D;1;no;no;no;2022;June;Wed;4.0;Bajo
Tarde;No;No;Material;Volcamiento;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2018;October;Tue;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2019;May;Fri;6.0;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2019;May;Tue;6.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2019;October;Tue;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2019;December;Wed;6.0;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2020;March;Fri;6.33;Moderado
Noche;No;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2020;May;Thu;6.67;Moderado
Morning;Si;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2020;June;Wed;9.0;Moderado
Tarde;No;No;Muertos;Choque;CL 6 CR 42;CL;6;CR;42;9;no;no;no;2020;July;Sun;8.33;Moderado
Tarde;No;No;Material;Choque;CR 42 CL 6;CR;42;CL;6;1;no;no;no;2020;December;Mon;4.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;1;no;no;no;2022;January;Thu;4.33;Bajo
Noche;No;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;1;no;no;no;2022;April;Sat;4.67;Bajo
Morning;Si;No;Material;Choque;CL 6 CR 42;CL;6;CR;42;1;no;no;no;2022;May;Sat;7.0;Moderado
Noche;No;No;Heridos;Choque;CL 6 CR 42 C;CL;6;CR;42;1;si;no;no;2022;September;Wed;5.67;Bajo
Tarde;No;Si;Material;Choque;CR 42C CL 6;CR;42C;CL;6;1;no;no;no;2018;March;Tue;7.33;Moderado
Tarde;No;No;Heridos;Choque;CL 6 CR 42C;CL;6;CR;42C;1;si;no;no;2024;September;Sat;5.33;Bajo
Tarde;No;No;Material;Choque;CR 43 CL 6;CR;43;CL;6;1;no;no;no;2018;April;Thu;4.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 43;CL;6;CR;43;4;no;no;no;2019;September;Tue;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 43;CL;6;CR;43;4;no;no;no;2020;February;Fri;6.0;Bajo
Noche;No;Si;Heridos;Choque;CL 6 CR 43;CL;6;CR;43;4;si;no;no;2020;October;Wed;10.67;Alto
Tarde;No;No;Material;Choque;CL 6 CR 43;CL;6;CR;43;4;no;no;no;2020;December;Wed;6.33;Moderado
Noche;No;No;Heridos;Choque;CL 6 CR 43;CL;6;CR;43;1;si;no;no;2021;October;Tue;5.67;Bajo
Morning;No;No;Heridos;Choque;CL 6 CR 43;CL;6;CR;43;1;si;no;no;2022;March;Sat;5.0;Bajo
Morning;No;No;Heridos;Atropello;CL 6 CR 43;CL;6;CR;43;1;si;no;no;2025;May;Tue;6.33;Moderado
Tarde;No;No;Material;Choque;CR 43 CL 6 CORREDOR PORTUARIO;CR;43;CL;6;1;no;no;no;2021;February;Wed;4.33;Bajo
Morning;No;No;Material;Choque;CL 6 CR 43B;CL;6;CR;43B;1;no;no;no;2022;April;Sat;4.0;Bajo
Noche;No;Si;Heridos;Choque;CL 6 CR 43B;CL;6;CR;43B;1;si;no;no;2023;April;Mon;8.67;Moderado
Tarde;No;No;Material;Choque;CR 43D CL 6;CR;43D;CL;6;1;no;no;no;2021;June;Wed;4.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 44;CL;6;CR;44;2;no;no;no;2018;August;Thu;5.33;Bajo
Morning;No;No;Material;Choque;CL 6 CR 44;CL;6;CR;44;3;no;no;no;2019;February;Wed;6.0;Bajo
Morning;Si;No;Material;Choque;CR 44 CL 6;CR;44;CL;6;1;no;no;no;2019;August;Sat;7.0;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 44;CL;6;CR;44;3;no;no;no;2020;October;Tue;6.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 44;CL;6;CR;44;3;no;no;no;2021;August;Tue;6.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 44;CL;6;CR;44;2;no;no;no;2021;December;Thu;5.33;Bajo
Morning;No;No;Material;Choque;CL 6 CR 45;CL;6;CR;45;2;no;no;no;2018;October;Fri;5.0;Bajo
Morning;No;No;Material;Choque;CL 6 CR 45;CL;6;CR;45;2;no;no;no;2019;June;Wed;5.0;Bajo
Morning;Si;No;Material;Choque;CL 6 CR 45;CL;6;CR;45;1;no;no;no;2019;September;Sat;7.0;Moderado
Morning;Si;No;Heridos;Choque;CL 6 CR 45;CL;6;CR;45;2;si;no;no;2021;September;Wed;9.0;Moderado
Tarde;No;No;Material;Choque;CR 45 CL 6;CR;45;CL;6;1;no;no;no;2022;June;Tue;4.33;Bajo
Morning;No;No;Heridos;Choque;CL 6 CR 45;CL;6;CR;45;2;si;no;no;2023;November;Sat;6.0;Bajo
Morning;Si;No;Material;Choque;CL 6 CR 45B;CL;6;CR;45B;1;no;no;no;2018;January;Wed;7.0;Moderado
Morning;No;No;Heridos;Choque;CL 6 CR 45B;CL;6;CR;45B;3;si;no;no;2022;January;Tue;7.0;Moderado
Morning;No;No;Material;Choque;CL 6 CR 45B;CL;6;CR;45B;3;no;no;no;2022;February;Wed;6.0;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 45B;CL;6;CR;45B;3;no;no;no;2022;April;Fri;6.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 45B CORREDOR PORTUARIO;CL;6;CR;45B;1;no;no;no;2020;September;Mon;4.33;Bajo
Tarde;No;No;Heridos;Choque;CL 6 CR 46;CL;6;CR;46;5;si;no;no;2018;January;Sun;7.33;Moderado
Morning;Si;No;Material;Choque;CL 6 CR 46;CL;6;CR;46;5;no;no;no;2018;April;Wed;9.0;Moderado
Tarde;No;No;Material;Choque;CR 46 CL 6;CR;46;CL;6;2;no;no;no;2019;January;Thu;5.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 46;CL;6;CR;46;5;no;no;no;2020;October;Tue;6.33;Moderado
Morning;No;No;Material;Choque;CR 46 CL 6;CR;46;CL;6;2;no;no;no;2021;April;Mon;5.0;Bajo
Morning;Si;No;Material;Choque;CL 6 CR 46;CL;6;CR;46;5;no;no;no;2021;August;Mon;9.0;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 46;CL;6;CR;46;2;no;no;no;2021;October;Wed;5.33;Bajo
Morning;No;No;Heridos;Choque;CL 6 CR 46;CL;6;CR;46;5;si;no;no;2021;November;Tue;7.0;Moderado
Tarde;No;No;Material;Choque;CR 46 CL 6;CR;46;CL;6;2;no;no;no;2021;December;Fri;5.33;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 46;CL;6;CR;46;2;no;no;no;2022;June;Wed;5.33;Bajo
Tarde;No;No;Muertos;Otro;CR 46 CL 6;CR;46;CL;6;2;no;no;no;2023;November;Wed;7.33;Moderado
Morning;No;No;Heridos;Volcamiento;CL 6 CR 46;CL;6;CR;46;1;si;no;no;2024;October;Tue;5.0;Bajo
Noche;No;No;Heridos;Otro;CL 6 CR 46;CL;6;CR;46;1;si;no;no;2024;December;Mon;5.67;Bajo
Morning;Si;No;Heridos;Choque;CL 6 CR 46 CR 45;CL;6;CR;46;1;si;no;no;2021;May;Tue;8.0;Moderado
Tarde;No;No;Heridos;Choque;CL 6 CR 47;CL;6;CR;47;1;si;no;no;2021;August;Sat;5.33;Bajo
Tarde;No;No;Heridos;Choque;CL 6 CR 48;CL;6;CR;48;2;si;no;no;2018;October;Mon;6.33;Moderado
Morning;No;No;Material;Choque;CL 6 CR 48;CL;6;CR;48;2;no;no;no;2018;November;Tue;5.0;Bajo
Noche;No;No;Heridos;Atropello;CR 52 CL 6;CR;52;CL;6;1;si;no;no;2019;February;Mon;7.0;Moderado
Noche;No;Si;Heridos;Atropello;CL 6 CR 7;CL;6;CR;7;1;si;no;no;2018;November;Thu;10.0;Moderado
Morning;Si;No;Material;Choque;CL 6 CR 70;CL;6;CR;70;1;no;no;no;2021;July;Fri;7.0;Moderado
Tarde;No;No;Material;Choque;CR 8 CL 6;CR;8;CL;6;1;no;no;no;2018;June;Thu;4.33;Bajo
Noche;No;Si;Heridos;Choque;CL 6 CR 8;CL;6;CR;8;3;si;no;no;2019;February;Wed;10.67;Alto
Morning;No;No;Material;Choque;CL 6 CR 8;CL;6;CR;8;3;no;no;no;2019;March;Thu;6.0;Bajo
Morning;No;No;Heridos;Atropello;CR 8 CL 6;CR;8;CL;6;2;si;no;no;2019;May;Wed;7.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 8;CL;6;CR;8;3;no;no;no;2019;June;Wed;6.33;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 8;CL;6;CR;8;1;no;no;no;2019;August;Sat;4.33;Bajo
Morning;No;No;Material;Choque;CR 8 CL 6;CR;8;CL;6;2;no;no;no;2019;November;Wed;5.0;Bajo
Noche;No;No;Material;Choque;CL 6 CR 8 SEMAFOROS SALIDA A SANTA MARTA;CL;6;CR;8;1;no;no;no;2019;May;Tue;4.67;Bajo
Morning;Si;No;Material;Choque;CL 6 CR 8 30;CL;6;CR;8;1;no;no;no;2019;September;Mon;7.0;Moderado
Tarde;No;No;Material;Choque;CL 6 CR 9;CL;6;CR;9;1;no;no;no;2019;February;Thu;4.33;Bajo
Morning;No;No;Material;Choque;CR 9 CL 6;CR;9;CL;6;1;no;no;no;2019;September;Mon;4.0;Bajo
Tarde;No;No;Heridos;Choque;CL 6 CR 9;CL;6;CR;9;1;si;no;no;2024;March;Thu;5.33;Bajo
Noche;No;No;Material;Choque;CL 6 CR 9 800;CL;6;CR;9;1;no;no;no;2021;June;Thu;4.67;Bajo
Tarde;No;No;Material;Choque;CL 6 CR 9 TRONCAL DEL CARIBE;CL;6;CR;9;1;no;no;no;2021;July;Tue;4.33;Bajo
Tarde;No;No;Heridos;Choque;CL 6 CR 9 VIA CORREDOR PORTUARIO;CL;6;CR;9;1;si;no;no;2022;May;Tue;5.33;Bajo
Noche;No;No;Material;Choque;CL 6 CORREDOR PORTUARIO CR 38;CL;6;CR;38;1;no;no;no;2020;April;Thu;4.67;Bajo
Morning;No;No;Heridos;Choque;CL 6 CORREDOR PORTUARIO CR 38;CL;6;CR;38;1;si;no;no;2024;September;Mon;5.0;Bajo
Morning;No;No;Material;Choque;CL 6 CORREDOR PORTUARIO ZONA FRANCA;CL;6;;;1;no;no;no;2018;January;Mon;4.0;Bajo
Tarde;No;No;Material;Choque;CL 6 DIAG 5;CL;6;;;1;no;no;no;2019;May;Wed;4.33;Bajo
Noche;No;No;Material;Choque;CL 6 DIAGONAL 8;CL;6;;;1;no;no;no;2018;February;Fri;4.67;Bajo
Tarde;No;No;Material;Otro;CL 6 ENTRE CR 30 38;CL;6;CR;30;1;no;no;no;2020;April;Fri;4.33;Bajo
Tarde;No;No;Material;Choque;CLL 6 ENTRE CR 30 38;CR;30;;;1;no;no;no;2021;March;Tue;4.33;Bajo
Tarde;No;No;Material;Choque;CL 6 ENTRE CR 38 30;CL;6;CR;38;1;no;no;no;2022;June;Tue;4.33;Bajo
Morning;No;No;Heridos;Choque;CL 60 20B 47;CL;60;;;1;si;no;no;2025;July;Sat;5.0;Bajo
Tarde;No;No;Heridos;Choque;CL 60 38 39;CL;60;;;1;si;no;no;2023;November;Sun;5.33;Bajo
Morning;No;No;Heridos;Choque;CL 60 43 53;CL;60;;;1;si;no;no;2023;December;Thu;5.0;Bajo
Tarde;No;Si;Material;Incendio;CL 60 15 113;CL;60;;;1;no;no;no;2019;October;Mon;7.33;Moderado
Noche;No;No;Material;Choque;CL 60 19 26;CL;60;;;1;no;no;no;2019;May;Fri;4.67;Bajo
Tarde;No;No;Material;Choque;CL 60 23 120;CL;60;;;1;no;no;no;2019;May;Sun;4.33;Bajo
Noche;No;Si;Material;Choque;CL 60 39 60;CL;60;;;1;no;no;no;2021;May;Mon;7.67;Moderado
Noche;No;No;Material;Choque;CL 60 43 37;CL;60;;;1;no;no;no;2018;November;Fri;4.67;Bajo
