Jornada;HoraP1;HoraP2;GRAVEDAD_ACCIDENTE;CLASE_ACCIDENTE;direccion_normalizada;tipo_principal;num_principal;tipo_secundaria;num_secundaria;FRECUENCIA;Heridos;Muertos;Material;YEAR;MES;DIA;Ponderacion;Riesgo
Tarde;No;No;Material;Choque;AV 110 CR 17;AV;110;CR;17;1;no;no;no;2019;August;Tue;4.33;Bajo
Morning;No;No;Material;Choque;AV 110 CR 19;AV;110;CR;19;2;no;no;no;2020;January;Sat;5.0;Bajo
Noche;No;No;Heridos;Choque;AV 110 CR 19;AV;110;CR;19;2;si;no;no;2020;March;Thu;6.67;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 2 SUR;AV;110;CR;2;1;no;no;no;2018;April;Tue;4.33;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 2 SUR;AV;110;CR;2;1;no;no;no;2021;September;Fri;4.33;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 20;AV;110;CR;20;2;no;no;no;2020;December;Mon;5.33;Bajo
Morning;No;No;Material;Choque;AV 110 CR 20;AV;110;CR;20;2;no;no;no;2021;May;Wed;5.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 23;AV;110;CR;23;1;no;no;no;2020;February;Mon;4.33;Bajo
Morning;Si;No;Material;Choque;AV 110 CR 26;AV;110;CR;26;2;no;no;no;2019;October;Thu;8.0;Moderado
Noche;No;No;Heridos;Choque;AV 110 CR 26;AV;110;CR;26;2;si;no;no;2020;February;Fri;6.67;Moderado
Tarde;No;No;Heridos;Atropello;AV 110 CR 26;AV;110;CR;26;4;si;no;no;2021;June;Tue;8.67;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 26;AV;110;CR;26;4;no;no;no;2021;June;Sat;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 26;AV;110;CR;26;4;no;no;no;2021;July;Sat;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 26;AV;110;CR;26;4;no;no;no;2021;September;Sun;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 26B;AV;110;CR;26B;1;no;no;no;2021;June;Tue;4.33;Bajo
Noche;No;Si;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2019;August;Tue;9.67;Moderado
Noche;No;No;Heridos;Atropello;AV 110 CR 27;AV;110;CR;27;3;si;no;no;2019;August;Sat;9.0;Moderado
Morning;Si;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2019;August;Sat;9.0;Moderado
Morning;Si;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2019;August;Sat;9.0;Moderado
Morning;No;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;3;no;no;no;2019;September;Sat;6.0;Bajo
Morning;Si;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2019;November;Tue;9.0;Moderado
Morning;Si;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2019;November;Tue;9.0;Moderado
Morning;Si;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2020;January;Fri;9.0;Moderado
Noche;No;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;3;no;no;no;2020;January;Mon;6.67;Moderado
Morning;No;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2021;March;Wed;6.0;Bajo
Noche;No;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2021;April;Fri;6.67;Moderado
Morning;No;No;Material;Choque;AV 110 CR 27;AV;110;CR;27;9;no;no;no;2021;July;Thu;6.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 3 SUR;AV;110;CR;3;2;no;no;no;2018;December;Wed;5.33;Bajo
Tarde;No;No;Heridos;Choque;AV 110 CR 3 SUR;AV;110;CR;3;2;si;no;no;2019;May;Mon;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 3 SUR;AV;110;CR;3;1;no;no;no;2020;December;Sat;4.33;Bajo
Morning;No;No;Material;Choque;AV 110 CR 31;AV;110;CR;31;1;no;no;no;2019;August;Fri;4.0;Bajo
Noche;No;No;Material;Choque;AV 110 CR 31;AV;110;CR;31;4;no;no;no;2020;September;Mon;6.67;Moderado
Morning;Si;No;Material;Choque;AV 110 CR 31;AV;110;CR;31;4;no;no;no;2021;May;Fri;9.0;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 31;AV;110;CR;31;4;no;no;no;2021;May;Tue;6.33;Moderado
Tarde;No;Si;Heridos;Atropello;AV 110 CR 31;AV;110;CR;31;4;si;no;no;2021;June;Fri;11.67;Alto
Morning;Si;No;Material;Choque;AV 110 CR 32;AV;110;CR;32;1;no;no;no;2021;April;Wed;7.0;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 34 80;AV;110;CR;34;1;no;no;no;2021;July;Thu;4.33;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 35;AV;110;CR;35;1;no;no;no;2020;November;Thu;4.33;Bajo
Noche;No;No;Material;Choque;AV 110 CR 36A;AV;110;CR;36A;1;no;no;no;2020;December;Tue;4.67;Bajo
